order_id,order_date,customer_id,product_id,quantity,unit_price,sales_amount,order_year,order_month,quantity_norm,sales_amount_norm
1,2022-11-21,394,1005,2,332.12,664.24,2022,2022-11,0.125,0.1454990407007214
296,2023-09-11,271,1005,3,332.12,996.36,2023,2023-09,0.25,0.2211765885403612
549,2023-06-09,190,1005,4,332.12,1328.48,2023,2023-06,0.375,0.296854136380001
606,2023-10-28,280,1005,6,332.12,1992.72,2023,2023-10,0.625,0.4482092320592806
776,2024-07-05,308,1005,7,332.12,2324.84,2024,2024-07,0.75,0.5238867798989204
881,2022-12-16,36,1005,7,332.12,2324.84,2022,2022-12,0.75,0.5238867798989204
887,2024-08-05,961,1005,9,332.12,2989.08,2024,2024-08,1.0,0.6752418755781999
1035,2024-06-05,204,1005,5,332.12,1660.6,2024,2024-06,0.5,0.3725316842196408
1160,2024-01-28,75,1005,9,332.12,2989.08,2024,2024-01,1.0,0.6752418755781999
1196,2023-11-04,60,1005,5,332.12,1660.6,2023,2023-11,0.5,0.3725316842196408
1285,2024-03-22,517,1005,2,332.12,664.24,2024,2024-03,0.125,0.1454990407007214
1299,2024-09-21,388,1005,6,332.12,1992.72,2024,2024-09,0.625,0.4482092320592806
1377,2024-07-02,20,1005,2,332.12,664.24,2024,2024-07,0.125,0.1454990407007214
1450,2023-08-25,710,1005,4,332.12,1328.48,2023,2023-08,0.375,0.296854136380001
1749,2023-07-22,73,1005,3,332.12,996.36,2023,2023-07,0.25,0.2211765885403612
1767,2022-12-02,255,1005,6,332.12,1992.72,2022,2022-12,0.625,0.4482092320592806
1816,2024-06-14,724,1005,9,332.12,2989.08,2024,2024-06,1.0,0.6752418755781999
2,2023-08-03,145,1041,2,290.96,581.92,2023,2023-08,0.125,0.1267414358044214
57,2024-09-24,109,1041,3,290.96,872.88,2024,2024-09,0.25,0.1930401811959112
470,2023-05-04,160,1041,9,290.96,2618.64,2023,2023-05,1.0,0.59083265354485
511,2024-09-30,245,1041,6,290.96,1745.76,2024,2024-09,0.625,0.3919364173703806
547,2023-02-27,325,1041,9,290.96,2618.64,2023,2023-02,1.0,0.59083265354485
641,2023-05-20,295,1041,2,290.96,581.92,2023,2023-05,0.125,0.1267414358044214
672,2024-01-21,553,1041,2,290.96,581.92,2024,2024-01,0.125,0.1267414358044214
