Ticket ID,Ticket Subject,Ticket Status,Ticket Priority,Ticket Type
1,Product setup,pending customer response,Critical,technical issue
2,Peripheral compatibility,pending customer response,Critical,technical issue
3,Network problem,closed,Low,technical issue
4,Account access,closed,Low,billing inquiry
5,Data loss,closed,Low,billing inquiry
6,Payment issue,open,Low,cancellation request
7,Refund request,open,Critical,product inquiry
8,Battery life,open,Critical,refund request
9,Installation support,pending customer response,Low,technical issue
10,Payment issue,pending customer response,Critical,refund request
11,Data loss,closed,High,cancellation request
12,Software bug,closed,High,product inquiry
13,Hardware issue,pending customer response,Low,technical issue
14,Product setup,pending customer response,Low,technical issue
15,Product setup,closed,High,billing inquiry
16,Product recommendation,pending customer response,High,billing inquiry
17,Account access,closed,Critical,product inquiry
18,Payment issue,pending customer response,High,product inquiry
19,Peripheral compatibility,open,High,product inquiry
20,Software bug,closed,Low,refund request
21,Payment issue,pending customer response,High,refund request
22,Installation support,pending customer response,Critical,cancellation request
23,Delivery problem,open,Medium,cancellation request
24,Refund request,pending customer response,Low,technical issue
25,Display issue,open,Critical,product inquiry
26,Refund request,pending customer response,Medium,product inquiry
27,Cancellation request,pending customer response,Low,billing inquiry
28,Product setup,open,High,cancellation request
29,Product recommendation,closed,Critical,technical issue
30,Cancellation request,closed,Medium,cancellation request
31,Product setup,open,Low,billing inquiry
32,Product compatibility,closed,Medium,technical issue
33,Product recommendation,pending customer response,Medium,billing inquiry
34,Hardware issue,closed,Critical,refund request
35,Installation support,pending customer response,Low,refund request
36,Product recommendation,closed,High,cancellation request
37,Hardware issue,pending customer response,Medium,refund request
38,Product compatibility,open,Medium,product inquiry
39,Account access,closed,Critical,technical issue
40,Account access,pending customer response,Medium,product inquiry
41,Installation support,pending customer response,Low,product inquiry
42,Product compatibility,closed,Critical,billing inquiry
43,Product compatibility,pending customer response,Medium,product inquiry
44,Hardware issue,open,Low,technical issue
45,Product compatibility,closed,Critical,refund request
46,Cancellation request,open,Low,product inquiry
47,Network problem,closed,High,refund request
48,Software bug,closed,Medium,technical issue
49,Network problem,open,High,cancellation request
50,Display issue,open,Medium,technical issue
51,Software bug,open,Medium,refund request
52,Software bug,closed,Medium,refund request
53,Network problem,closed,High,refund request
54,Delivery problem,closed,Low,cancellation request
55,Network problem,pending customer response,Low,technical issue
56,Software bug,pending customer response,Critical,cancellation request
57,Software bug,pending customer response,Medium,technical issue
58,Peripheral compatibility,open,Critical,refund request
59,Product recommendation,closed,Medium,technical issue
60,Cancellation request,closed,Medium,product inquiry
61,Product setup,closed,Medium,cancellation request
62,Battery life,pending customer response,Critical,product inquiry
63,Payment issue,closed,High,billing inquiry
64,Hardware issue,pending customer response,High,billing inquiry
65,Product compatibility,open,Medium,technical issue
66,Battery life,pending customer response,Medium,technical issue
67,Product compatibility,closed,High,billing inquiry
68,Peripheral compatibility,pending customer response,Low,cancellation request
69,Product compatibility,pending customer response,Critical,technical issue
70,Refund request,closed,High,refund request
71,Product setup,pending customer response,Medium,cancellation request
72,Delivery problem,open,Medium,refund request
73,Display issue,closed,Low,billing inquiry
74,Payment issue,closed,Critical,cancellation request
75,Product setup,open,Critical,billing inquiry
76,Display issue,closed,Critical,product inquiry
77,Account access,open,Critical,cancellation request
78,Delivery problem,closed,Low,billing inquiry
79,Data loss,pending customer response,Medium,billing inquiry
80,Software bug,pending customer response,Critical,technical issue
81,Product recommendation,pending customer response,Critical,technical issue
82,Cancellation request,pending customer response,Medium,cancellation request
83,Software bug,closed,Low,refund request
84,Installation support,pending customer response,Critical,technical issue
85,Hardware issue,open,Medium,technical issue
86,Peripheral compatibility,open,High,product inquiry
87,Product recommendation,closed,Critical,technical issue
88,Delivery problem,pending customer response,High,technical issue
89,Product setup,open,Critical,billing inquiry
90,Product recommendation,closed,Medium,product inquiry
91,Software bug,pending customer response,High,refund request
92,Display issue,pending customer response,Low,product inquiry
93,Peripheral compatibility,pending customer response,Low,technical issue
94,Installation support,open,Low,refund request
95,Account access,open,Critical,product inquiry
96,Battery life,closed,High,product inquiry
97,Battery life,open,High,cancellation request
98,Delivery problem,pending customer response,High,product inquiry
99,Refund request,closed,High,billing inquiry
100,Hardware issue,pending customer response,Low,technical issue
101,Delivery problem,pending customer response,High,cancellation request
102,Software bug,pending customer response,Critical,billing inquiry
103,Battery life,closed,Critical,refund request
104,Battery life,open,High,refund request
105,Product recommendation,open,High,refund request
106,Battery life,pending customer response,Critical,product inquiry
107,Installation support,closed,Low,cancellation request
108,Account access,pending customer response,High,technical issue
109,Product setup,closed,Critical,technical issue
110,Account access,open,High,product inquiry
111,Peripheral compatibility,closed,High,cancellation request
112,Display issue,open,High,refund request
113,Display issue,open,Medium,product inquiry
114,Payment issue,closed,High,cancellation request
115,Battery life,closed,High,cancellation request
116,Delivery problem,open,Critical,technical issue
117,Software bug,closed,High,cancellation request
118,Product setup,closed,Medium,billing inquiry
119,Data loss,open,High,refund request
120,Software bug,closed,Low,billing inquiry
121,Refund request,pending customer response,Medium,billing inquiry
122,Peripheral compatibility,open,Critical,product inquiry
123,Installation support,open,Low,refund request
124,Battery life,pending customer response,Low,product inquiry
125,Product setup,pending customer response,High,technical issue
126,Display issue,open,Medium,refund request
127,Cancellation request,open,Low,billing inquiry
128,Cancellation request,pending customer response,Low,refund request
129,Hardware issue,closed,Medium,cancellation request
130,Cancellation request,pending customer response,Low,cancellation request
131,Product recommendation,closed,Medium,billing inquiry
132,Battery life,pending customer response,Critical,product inquiry
133,Data loss,open,Medium,cancellation request
134,Refund request,closed,Critical,refund request
135,Product setup,closed,Critical,cancellation request
136,Software bug,pending customer response,Low,product inquiry
137,Software bug,open,Critical,cancellation request
138,Network problem,closed,Low,technical issue
139,Product compatibility,closed,Critical,product inquiry
140,Battery life,pending customer response,Low,cancellation request
141,Product setup,closed,Critical,cancellation request
142,Software bug,closed,High,technical issue
143,Product compatibility,pending customer response,High,billing inquiry
144,Account access,open,Critical,cancellation request
145,Data loss,open,Low,refund request
146,Refund request,pending customer response,Medium,cancellation request
147,Battery life,open,Low,cancellation request
148,Product compatibility,closed,Low,billing inquiry
149,Installation support,closed,High,refund request
150,Peripheral compatibility,closed,Critical,technical issue
151,Product recommendation,closed,Critical,refund request
152,Display issue,pending customer response,Medium,refund request
153,Account access,pending customer response,Low,product inquiry
154,Cancellation request,pending customer response,Medium,technical issue
155,Product recommendation,open,Medium,technical issue
156,Delivery problem,open,Low,cancellation request
157,Delivery problem,open,Low,product inquiry
158,Refund request,open,Medium,technical issue
159,Hardware issue,pending customer response,Low,product inquiry
160,Cancellation request,pending customer response,High,billing inquiry
161,Account access,pending customer response,High,refund request
162,Product setup,closed,High,refund request
163,Payment issue,closed,Critical,refund request
164,Product recommendation,closed,Medium,cancellation request
165,Product setup,closed,Low,billing inquiry
166,Network problem,pending customer response,Low,product inquiry
167,Battery life,closed,Medium,refund request
168,Delivery problem,closed,Medium,technical issue
169,Delivery problem,open,High,billing inquiry
170,Network problem,closed,Medium,product inquiry
171,Product setup,closed,Low,billing inquiry
172,Refund request,open,Low,refund request
173,Product compatibility,pending customer response,Medium,cancellation request
174,Product recommendation,pending customer response,Medium,refund request
175,Data loss,pending customer response,Critical,technical issue
176,Delivery problem,closed,Medium,technical issue
177,Refund request,pending customer response,Medium,technical issue
178,Product recommendation,pending customer response,High,cancellation request
179,Peripheral compatibility,open,Medium,billing inquiry
180,Data loss,pending customer response,Critical,billing inquiry
181,Product compatibility,pending customer response,Medium,refund request
182,Account access,pending customer response,Critical,cancellation request
183,Delivery problem,closed,High,product inquiry
184,Network problem,closed,Medium,billing inquiry
185,Product setup,pending customer response,High,refund request
186,Software bug,open,Low,technical issue
187,Refund request,pending customer response,Medium,product inquiry
188,Network problem,pending customer response,Low,cancellation request
